ID,PHENOTYPE,SAMPLE_SIZE,METHODOLOGY,PARAMETERS,NO_VARIANTS,FTP_WEBPAGE,NO_NONZERO_VARIANTS,NONZERO_FRACTION
PGS002267,Ascending thoracic aortic diameter,33637,Genome-wide significant variants,"Autosomal, independently significant SNPs from the ascending aorta GWAS",89,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS002267/ScoringFiles/PGS002267.txt.gz,89,1
PGS002268,Prostate cancer,10187,LD clumping,p<0.001,29,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS002268/ScoringFiles/PGS002268.txt.gz,29,1
PGS002269,Age-related macular degeneration,33976,Independent variants associated with AMD,"mean = 0, range = -1.6 - 2.09, SD = 0.39",47,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS002269/ScoringFiles/PGS002269.txt.gz,47,1
PGS002270,Lung cancer,218879,Genome-wide significant variants,"r2<0.1, MAF>0.01",33,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS002270/ScoringFiles/PGS002270.txt.gz,33,1
PGS002271,Mitral valve prolapse,46304,PRS-CS,PARAM_PHI =1e-2; LD panel = 1000G EUR,1097364,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS002271/ScoringFiles/PGS002271.txt.gz,1097364,1
PGS002272,COVID-19 infection,127704,Genome-wide significant variants,p < 5E-08,6,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS002272/ScoringFiles/PGS002272.txt.gz,6,1
PGS002273,COVID-19 infection,127704,Genome-wide significant variants,p < 5E-08,12,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS002273/ScoringFiles/PGS002273.txt.gz,12,1
PGS002274,Low-density lipoprotein cholesterol,237050,Genome-wide significant variants,p<5E-08,279,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS002274/ScoringFiles/PGS002274.txt.gz,279,1
PGS002275,Systolic blood pressure,1363940,Genome-wide significant variants,p<5E-08,425,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS002275/ScoringFiles/PGS002275.txt.gz,425,1
PGS002276,QTc duration,84630,PRS-CS,European 1000G LD data used in PRS-CS,1110494,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS002276/ScoringFiles/PGS002276.txt.gz,1110494,1
PGS002277,Type 2 diabetes (based on SNPs associated with insulin secretion),488710,Partitioned polygenic score,"cluster consisting of eight variants classified as ‘Insulin secretion 1’ in PMID:29632382, weights from PMID:20081858",8,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS002277/ScoringFiles/PGS002277.txt.gz,8,1
PGS002278,Supranormal left ventricular ejection fraction,30557,Genome-wide significant variants,"p<5E-08, r2<0.05",16,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS002278/ScoringFiles/PGS002278.txt.gz,16,1
PGS002279,Reduced left ventricular ejection fraction,36041,Genome-wide significant variants,"p<5E-08, r2<0.05",22,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS002279/ScoringFiles/PGS002279.txt.gz,22,1
PGS002280,Alzheimer's disease,487511,Genome-wide significant variants,excluding APOE,83,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS002280/ScoringFiles/PGS002280.txt.gz,83,1
PGS002281,Multiple myeloma,733337,Genome-wide significant variants,<5E-08,23,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS002281/ScoringFiles/PGS002281.txt.gz,23,1
PGS002282,Nonalcoholic fatty liver disease,218595,Genome-wide significant variants,"p<5E-08, MAF>1%, INFO>0.7, r2>0.8",68,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS002282/ScoringFiles/PGS002282.txt.gz,68,1
PGS002283,Nonalcoholic fatty liver disease,218595,Genome-wide significant variants,"p<5E-08, MAF>1%, INFO>0.7, r2>0.8; externally validated to associate with histologically or imaging-defined NAFLD",15,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS002283/ScoringFiles/PGS002283.txt.gz,15,1
PGS002284,High density lipoprotein cholesterol,312571,PRSice,"For GRS construction, SNPs from MVP serum lipid summary statistics were clumped based on their linkage disequilibrium. We clumped SNPs at different r2 thresholds, and a 500kb clumping window with r2 of 0.5 proved to be the best fitting and best performing model for all lipid traits. We also tested the best P-value threshold for selecting which clumped SNPs we would include in the final GRS for the range of 1 to 5E-08. The P-value threshold, which accounted for the highest proportion of the variance of the trait R2, was selected as the best GRS.",286,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS002284/ScoringFiles/PGS002284.txt.gz,285,0.9965034965034965
PGS002285,Low density lipoprotein cholesterol,312571,PRSice,"For GRS construction, SNPs from MVP serum lipid summary statistics were clumped based on their linkage disequilibrium. We clumped SNPs at different r2 thresholds, and a 500kb clumping window with r2 of 0.5 proved to be the best fitting and best performing model for all lipid traits. We also tested the best P-value threshold for selecting which clumped SNPs we would include in the final GRS for the range of 1 to 5E-08. The P-value threshold, which accounted for the highest proportion of the variance of the trait R2, was selected as the best GRS.",286,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS002285/ScoringFiles/PGS002285.txt.gz,285,0.9965034965034965
PGS002286,Total cholesterol,312571,PRSice,"For GRS construction, SNPs from MVP serum lipid summary statistics were clumped based on their linkage disequilibrium. We clumped SNPs at different r2 thresholds, and a 500kb clumping window with r2 of 0.5 proved to be the best fitting and best performing model for all lipid traits. We also tested the best P-value threshold for selecting which clumped SNPs we would include in the final GRS for the range of 1 to 5E-08. The P-value threshold, which accounted for the highest proportion of the variance of the trait R2, was selected as the best GRS.",286,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS002286/ScoringFiles/PGS002286.txt.gz,285,0.9965034965034965
PGS002287,Triglyceride,312571,PRSice,"For GRS construction, SNPs from MVP serum lipid summary statistics were clumped based on their linkage disequilibrium. We clumped SNPs at different r2 thresholds, and a 500kb clumping window with r2 of 0.5 proved to be the best fitting and best performing model for all lipid traits. We also tested the best P-value threshold for selecting which clumped SNPs we would include in the final GRS for the range of 1 to 5E-08. The P-value threshold, which accounted for the highest proportion of the variance of the trait R2, was selected as the best GRS.",286,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS002287/ScoringFiles/PGS002287.txt.gz,285,0.9965034965034965
PGS002288,Pelvic organ prolapse,447544,LDpred,"LD-clumping (r2 threshold = 0.99; varying the fraction of causal SNPs = [Inf, 1, 0.3, 0.1, 0.03, 0.01, 0.003, 0.001, 0.0003, 0.0001]",3242959,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS002288/ScoringFiles/PGS002288.txt.gz,3242959,1
PGS002289,Late onset Alzheimers disease,55134,GWAS-significant variants (including APOE),NA,23,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS002289/ScoringFiles/PGS002289.txt.gz,23,1
PGS002290,Uric acid level,234754,Genome-wide significant variants,"p<0.05, r2<0.100, SNP not associated with other traits",10,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS002290/ScoringFiles/PGS002290.txt.gz,10,1
PGS002291,Nasopharyngeal carcinoma,0,Genome-wide significant variants,"previously reported variants <=0.0005, pjoint<5E-08, Pconditional<0.05, r2>0.9,",12,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS002291/ScoringFiles/PGS002291.txt.gz,12,1
PGS002292,Keratoconus,26742,Genome-wide significant variants,lead variants,36,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS002292/ScoringFiles/PGS002292.txt.gz,36,1
PGS002293,Psoriasis,287323,Genome-wide significant variants,SNPs available in the UK Biobank,62,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS002293/ScoringFiles/PGS002293.txt.gz,62,1
PGS002294,Breast cancer,417206,Fine-mapping of GWAS-significant loci,p<0.00005,111,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS002294/ScoringFiles/PGS002294.txt.gz,111,1
PGS002295,Insulin growth-like factor-1 level,988351,Genome-wide significant variants,NA,413,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS002295/ScoringFiles/PGS002295.txt.gz,413,1
PGS002296,Hypertension,458554,Clumping and Thresholding (C+T),"p<6.46E-21, r2=9.46%",2166,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS002296/ScoringFiles/PGS002296.txt.gz,2166,1
PGS002297,Lipoprotein (a) levels,13781,Genome-wide significant variants,joint model after stepwise conditional analysis,48,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS002297/ScoringFiles/PGS002297.txt.gz,48,1
PGS002298,Esophageal cancer,21271,Genome-wide significant variants,r2>=0.93,14,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS002298/ScoringFiles/PGS002298.txt.gz,14,1
PGS002299,Gastric cancer,208152,Genome-wide significant variants,r2>=0.93,3,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS002299/ScoringFiles/PGS002299.txt.gz,3,1
PGS002300,Endometrial cancer,121885,Genome-wide significant variants,r2>=0.93,19,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS002300/ScoringFiles/PGS002300.txt.gz,19,1
PGS002301,Melanoma,291407,Genome-wide significant variants,r2>=0.93,22,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS002301/ScoringFiles/PGS002301.txt.gz,22,1
PGS002302,Glioma,30659,Genome-wide significant variants,r2>=0.93,28,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS002302/ScoringFiles/PGS002302.txt.gz,28,1
PGS002303,Diffuse large B-cell lymphoma,11523,Genome-wide significant variants,r2>=0.93,9,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS002303/ScoringFiles/PGS002303.txt.gz,9,1
PGS002304,Follicular lymphoma,10486,Genome-wide significant variants,r2>=0.93,6,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS002304/ScoringFiles/PGS002304.txt.gz,6,1
PGS002305,Chronic lymphoid leukemia,17691,Genome-wide significant variants,r2>=0.93,43,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS002305/ScoringFiles/PGS002305.txt.gz,43,1
PGS002306,Multiple myeloma,249665,Genome-wide significant variants,r2>=0.93,23,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS002306/ScoringFiles/PGS002306.txt.gz,23,1
PGS002307,Gout,69374,Genome-wide significant variants,r2<0.01,33,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS002307/ScoringFiles/PGS002307.txt.gz,33,1
PGS002308,Type 2 diabetes,1099372,PRS-CSx,PRS-CSx with --auto and --meta options,1259754,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS002308/ScoringFiles/PGS002308.txt.gz,1259754,1
PGS002309,Number of children ever born,335600,BOLT-LMM,NA,1109311,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS002309/ScoringFiles/PGS002309.txt.gz,1109308,0.9999972956186317
PGS002310,Age of Menarche,176155,BOLT-LMM,NA,1109311,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS002310/ScoringFiles/PGS002310.txt.gz,1109311,1
PGS002311,Asthma,337071,BOLT-LMM,NA,1109311,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS002311/ScoringFiles/PGS002311.txt.gz,1109304,0.9999936897768074
PGS002312,Autoimmune disease,337488,BOLT-LMM,NA,1109311,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS002312/ScoringFiles/PGS002312.txt.gz,1109299,0.999989182474527
PGS002313,BMI,336394,BOLT-LMM,NA,1109311,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS002313/ScoringFiles/PGS002313.txt.gz,1109311,1
PGS002314,Balding Type 1,155100,BOLT-LMM,NA,1109311,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS002314/ScoringFiles/PGS002314.txt.gz,1109307,0.99999639415817565
PGS002315,Bone Mineral Density,327738,BOLT-LMM,NA,1109311,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS002315/ScoringFiles/PGS002315.txt.gz,1109310,0.9999990985395439
PGS002316,Cardiovascular disease,337488,BOLT-LMM,NA,1109311,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS002316/ScoringFiles/PGS002316.txt.gz,1109309,0.9999981970790879
PGS002317,Childless,335600,BOLT-LMM,NA,1109311,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS002317/ScoringFiles/PGS002317.txt.gz,1109303,0.9999927883163513
PGS002318,Chronotype (morning person),301397,BOLT-LMM,NA,1109311,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS002318/ScoringFiles/PGS002318.txt.gz,1109311,1
PGS002319,College education,334353,BOLT-LMM,NA,1109311,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS002319/ScoringFiles/PGS002319.txt.gz,1109308,0.9999972956186317
PGS002320,Dermatologic diseases,337071,BOLT-LMM,NA,1109311,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS002320/ScoringFiles/PGS002320.txt.gz,1109288,0.9999792664095101
PGS002321,Diabetes (any type),336759,BOLT-LMM,NA,1109311,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS002321/ScoringFiles/PGS002321.txt.gz,1109298,0.9999882810140709
PGS002322,Diastolic blood pressure,310831,BOLT-LMM,NA,1109311,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS002322/ScoringFiles/PGS002322.txt.gz,1109310,0.9999990985395439
PGS002323,Eczema,337071,BOLT-LMM,NA,1109311,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS002323/ScoringFiles/PGS002323.txt.gz,1109307,0.99999639415817565
PGS002324,Endocrine and diabetes diseases,337488,BOLT-LMM,NA,1109311,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS002324/ScoringFiles/PGS002324.txt.gz,1109295,0.9999855766327026
PGS002325,Eosinophil count,323358,BOLT-LMM,NA,1109311,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS002325/ScoringFiles/PGS002325.txt.gz,1109311,1
PGS002326,FEV1/FVC Ratio,274172,BOLT-LMM,NA,1109311,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS002326/ScoringFiles/PGS002326.txt.gz,1109311,1
PGS002327,Forced Vital Capacity,274172,BOLT-LMM,NA,1109311,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS002327/ScoringFiles/PGS002327.txt.gz,1109311,1
PGS002328,Glucose,291275,BOLT-LMM,NA,1109311,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS002328/ScoringFiles/PGS002328.txt.gz,1109307,0.99999639415817565
PGS002329,HDL Cholesterol,294075,BOLT-LMM,NA,1109311,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS002329/ScoringFiles/PGS002329.txt.gz,1109311,1
PGS002330,Hair Color,332641,BOLT-LMM,NA,1109311,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS002330/ScoringFiles/PGS002330.txt.gz,1109310,0.9999990985395439
PGS002331,HbA1c,318400,BOLT-LMM,NA,1109311,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS002331/ScoringFiles/PGS002331.txt.gz,1109311,1
PGS002332,Height,336759,BOLT-LMM,NA,1109311,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS002332/ScoringFiles/PGS002332.txt.gz,1109311,1
PGS002333,High Light Scatter Reticulocyte Count,321608,BOLT-LMM,NA,1109311,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS002333/ScoringFiles/PGS002333.txt.gz,1109311,1
PGS002334,High cholesterol,337488,BOLT-LMM,NA,1109311,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS002334/ScoringFiles/PGS002334.txt.gz,1109306,0.9999954926977196
PGS002335,Hypertension,336972,BOLT-LMM,NA,1109311,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS002335/ScoringFiles/PGS002335.txt.gz,1109309,0.9999981970790879
PGS002336,Hypothyroidism,337488,BOLT-LMM,NA,1109311,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS002336/ScoringFiles/PGS002336.txt.gz,1109299,0.999989182474527
PGS002337,LDL Cholesterol,321002,BOLT-LMM,NA,1109311,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS002337/ScoringFiles/PGS002337.txt.gz,1109308,0.9999972956186317
PGS002338,Lymphocyte Count,326304,BOLT-LMM,NA,1109311,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS002338/ScoringFiles/PGS002338.txt.gz,1109310,0.9999990985395439
PGS002339,Mean Corpuscular Hemoglobin,326188,BOLT-LMM,NA,1109311,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS002339/ScoringFiles/PGS002339.txt.gz,1109310,0.9999990985395439
PGS002340,Mean Platelet Volume,327205,BOLT-LMM,NA,1109311,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS002340/ScoringFiles/PGS002340.txt.gz,1109311,1
PGS002341,Monocyte Count,325319,BOLT-LMM,NA,1109311,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS002341/ScoringFiles/PGS002341.txt.gz,1109310,0.9999990985395439
PGS002342,Neuroticism,274316,BOLT-LMM,NA,1109311,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS002342/ScoringFiles/PGS002342.txt.gz,1109311,1
PGS002343,Platelet count,326621,BOLT-LMM,NA,1109311,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS002343/ScoringFiles/PGS002343.txt.gz,1109311,1
PGS002344,Psoriasis,337488,BOLT-LMM,NA,1109311,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS002344/ScoringFiles/PGS002344.txt.gz,1109276,0.999968448884037
PGS002345,Red Blood Cell Count,327209,BOLT-LMM,NA,1109311,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS002345/ScoringFiles/PGS002345.txt.gz,1109311,1
PGS002346,Red Blood Cell Distribution Width,325395,BOLT-LMM,NA,1109311,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS002346/ScoringFiles/PGS002346.txt.gz,1109309,0.9999981970790879
PGS002347,Respiratory and ear-nose-throat diseases,337488,BOLT-LMM,NA,1109311,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS002347/ScoringFiles/PGS002347.txt.gz,1109307,0.99999639415817565
PGS002348,Smoking status,336312,BOLT-LMM,NA,1109311,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS002348/ScoringFiles/PGS002348.txt.gz,1109309,0.9999981970790879
PGS002349,Systolic Blood Pressure,310831,BOLT-LMM,NA,1109311,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS002349/ScoringFiles/PGS002349.txt.gz,1109311,1
PGS002350,Tanning,330738,BOLT-LMM,NA,1109311,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS002350/ScoringFiles/PGS002350.txt.gz,1109305,0.9999945912372635
PGS002351,Thyroid (self-reported conditions),337488,BOLT-LMM,NA,1109311,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS002351/ScoringFiles/PGS002351.txt.gz,1109299,0.999989182474527
PGS002352,Total cholesterol,321595,BOLT-LMM,NA,1109311,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS002352/ScoringFiles/PGS002352.txt.gz,1109309,0.9999981970790879
PGS002353,Triglycerides,319244,BOLT-LMM,NA,1109311,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS002353/ScoringFiles/PGS002353.txt.gz,1109310,0.9999990985395439
PGS002354,Type 2 diabetes,337488,BOLT-LMM,NA,1109311,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS002354/ScoringFiles/PGS002354.txt.gz,1109294,0.9999846751722465
PGS002355,Vitamin D,307287,BOLT-LMM,NA,1109311,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS002355/ScoringFiles/PGS002355.txt.gz,1109311,1
PGS002356,Waist-Hip Ratio,336847,BOLT-LMM,NA,1109311,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS002356/ScoringFiles/PGS002356.txt.gz,1109311,1
PGS002357,White Blood Count,326723,BOLT-LMM,NA,1109311,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS002357/ScoringFiles/PGS002357.txt.gz,1109311,1
PGS002358,Asthma,124000,BOLT-LMM-BBJ,NA,920922,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS002358/ScoringFiles/PGS002358.txt.gz,920634,0.9996872699316555
PGS002359,Autoimmune disease,124000,BOLT-LMM-BBJ,NA,920927,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS002359/ScoringFiles/PGS002359.txt.gz,920644,0.9996927009415513
PGS002360,BMI,124000,BOLT-LMM-BBJ,NA,920920,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS002360/ScoringFiles/PGS002360.txt.gz,920626,0.9996807540285801
PGS002361,Cardiovascular disease,124000,BOLT-LMM-BBJ,NA,920929,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS002361/ScoringFiles/PGS002361.txt.gz,920659,0.9997068177894278
PGS002362,Diastolic blood pressure,124000,BOLT-LMM-BBJ,NA,920925,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS002362/ScoringFiles/PGS002362.txt.gz,920607,0.9996546950077367
PGS002363,Eczema,124000,BOLT-LMM-BBJ,NA,920927,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS002363/ScoringFiles/PGS002363.txt.gz,920623,0.9996698978312071
PGS002364,Eosinophil count,124000,BOLT-LMM-BBJ,NA,920929,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS002364/ScoringFiles/PGS002364.txt.gz,920452,0.9994820447613225
PGS002365,Glucose,124000,BOLT-LMM-BBJ,NA,920926,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS002365/ScoringFiles/PGS002365.txt.gz,920561,0.9996036597945981
PGS002366,HDL Cholesterol,124000,BOLT-LMM-BBJ,NA,920924,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS002366/ScoringFiles/PGS002366.txt.gz,920305,0.9993278489864528
PGS002367,HbA1c,124000,BOLT-LMM-BBJ,NA,920924,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS002367/ScoringFiles/PGS002367.txt.gz,920282,0.9993028740699559
PGS002368,Height,124000,BOLT-LMM-BBJ,NA,920927,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS002368/ScoringFiles/PGS002368.txt.gz,920636,0.9996840140423725
PGS002369,LDL Cholesterol,124000,BOLT-LMM-BBJ,NA,920930,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS002369/ScoringFiles/PGS002369.txt.gz,920192,0.9991986361612718
PGS002370,Lymphocyte Count,124000,BOLT-LMM-BBJ,NA,920935,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS002370/ScoringFiles/PGS002370.txt.gz,920476,0.9995015934892256
PGS002371,Mean Corpuscular Hemoglobin,124000,BOLT-LMM-BBJ,NA,920923,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS002371/ScoringFiles/PGS002371.txt.gz,920580,0.9996275475799823
PGS002372,Monocyte Count,124000,BOLT-LMM-BBJ,NA,920930,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS002372/ScoringFiles/PGS002372.txt.gz,920461,0.9994907321946294
PGS002373,Platelet count,124000,BOLT-LMM-BBJ,NA,920923,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS002373/ScoringFiles/PGS002373.txt.gz,920632,0.9996840126698975
PGS002374,Red Blood Cell Count,124000,BOLT-LMM-BBJ,NA,920935,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS002374/ScoringFiles/PGS002374.txt.gz,920636,0.9996753299635697
PGS002375,Smoking status,124000,BOLT-LMM-BBJ,NA,920934,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS002375/ScoringFiles/PGS002375.txt.gz,920653,0.9996948749856124
PGS002376,Systolic Blood Pressure,124000,BOLT-LMM-BBJ,NA,920928,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS002376/ScoringFiles/PGS002376.txt.gz,920609,0.9996536102713784
PGS002377,Total cholesterol,124000,BOLT-LMM-BBJ,NA,920922,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS002377/ScoringFiles/PGS002377.txt.gz,920551,0.9995971428633478
PGS002378,Triglycerides,124000,BOLT-LMM-BBJ,NA,920927,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS002378/ScoringFiles/PGS002378.txt.gz,920468,0.9995015891596185
PGS002379,Type 2 diabetes,124000,BOLT-LMM-BBJ,NA,920930,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS002379/ScoringFiles/PGS002379.txt.gz,920663,0.9997100756843625
PGS002380,White Blood Count,124000,BOLT-LMM-BBJ,NA,920936,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS002380/ScoringFiles/PGS002380.txt.gz,920645,0.9996840171303978
PGS002381,Number of children ever born,335600,Pruning and Thresholding (P+T),p < 0.0001,1639,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS002381/ScoringFiles/PGS002381.txt.gz,1639,1
PGS002382,Age of Menarche,176155,Pruning and Thresholding (P+T),p < 0.0001,6332,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS002382/ScoringFiles/PGS002382.txt.gz,6332,1
PGS002383,Asthma,337071,Pruning and Thresholding (P+T),p < 0.0001,3893,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS002383/ScoringFiles/PGS002383.txt.gz,3893,1
PGS002384,Autoimmune disease,337488,Pruning and Thresholding (P+T),p < 0.0001,2563,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS002384/ScoringFiles/PGS002384.txt.gz,2563,1
PGS002385,BMI,336394,Pruning and Thresholding (P+T),p < 0.0001,15518,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS002385/ScoringFiles/PGS002385.txt.gz,15518,1
PGS002386,Balding Type 1,155100,Pruning and Thresholding (P+T),p < 0.0001,7823,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS002386/ScoringFiles/PGS002386.txt.gz,7823,1
PGS002387,Bone Mineral Density,327738,Pruning and Thresholding (P+T),p < 0.0001,25831,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS002387/ScoringFiles/PGS002387.txt.gz,25831,1
PGS002388,Cardiovascular disease,337488,Pruning and Thresholding (P+T),p < 0.0001,5621,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS002388/ScoringFiles/PGS002388.txt.gz,5621,1
PGS002389,Childless,335600,Pruning and Thresholding (P+T),p < 0.0001,1578,https://ftp.ebi.ac.uk/pub/databases/spot/pgs/scores/PGS002389/ScoringFiles/PGS002389.txt.gz,1578,1
