PHENOTYPE,VAR_BETAS,MAX_ABS_BETAS,MEAN_ABS_BETAS,VAR_PP_CORS,MAX_ABS_PP_CORS,MEAN_ABS_PP_CORS,MEAN_DELTA_R2,MEAN_DELTA_ADJ_R2,MEAN.DELTA_ADJ_R2_POSITIVE
Haemoglobin_concentration.all_ethnicities.both.dynamic_med_corrected.RAW,0.8,0.18,0,0.49,0.53,0.41,1,1,0.63
Haemoglobin_concentration.all_ethnicities.both.original.IRNT,1,0.83,0,0.04,0.4000000000000001,0.13000000000000003,1,1,0.02
Haemoglobin_concentration.all_ethnicities.both.original.RAW,1,0.87,0,0.06000000000000001,0.39,0.16,1,1,0.04
Haemoglobin_concentration.all_ethnicities.both.original.with_med_correction.IRNT,1,0.9,0,0.029999999999999995,0.76,0.08999999999999998,1,1,0.06000000000000001
Haemoglobin_concentration.all_ethnicities.both.original.with_med_correction.RAW,1,0.9,0,0.04,0.76,0.10000000000000002,1,1,0.029999999999999995
Haemoglobin_concentration.all_ethnicities.both.static_med_corrected.IRNT,0.82,0.13000000000000003,0,0.27999999999999997,0.4000000000000001,0.25,1,1,0.65
Haemoglobin_concentration.all_ethnicities.both.static_med_corrected.RAW,0.82,0.15,0,0.26,0.19,0.18,1,1,0.62
Hand_grip_strength_left.all_ethnicities.both.2nd_visit.original.RAW,1,1,1,0.75,0.51,0.87,0,0.77,0.05
Hand_grip_strength_left.all_ethnicities.both.dynamic_med_corrected.IRNT,0.9899999999999999,0.41,0,0.95,0.75,0.9300000000000002,1,1,0.08
Hand_grip_strength_left.all_ethnicities.both.dynamic_med_corrected.RAW,0.98,0.46,0,0.72,0.51,0.73,1,1,0.05
Hand_grip_strength_left.all_ethnicities.both.original.IRNT,0.9700000000000002,0.8,0,0.87,0.6,0.92,0.98,1,0.08
Hand_grip_strength_left.all_ethnicities.both.original.RAW,0.9899999999999999,0.87,0,0.8,0.54,0.84,0.95,1,0.07
Hand_grip_strength_left.all_ethnicities.both.original.with_med_correction.IRNT,0.95,0.89,0,0.92,0.63,0.9,0.98,1,0.08
Hand_grip_strength_left.all_ethnicities.both.original.with_med_correction.RAW,0.95,0.84,0,0.92,0.74,0.9,0.95,1,0.04
Hand_grip_strength_left.all_ethnicities.both.static_med_corrected.IRNT,0.9700000000000002,0.23,0,0.73,0.82,0.77,1,1,0.06000000000000001
Hand_grip_strength_left.all_ethnicities.both.static_med_corrected.RAW,0.98,0.36,0,0.68,0.77,0.76,1,1,0.009999999999999998
Hand_grip_strength_right.all_ethnicities.both.2nd_visit.original.RAW,1,1,1,0.38,0.12,0.58,0,0.8,0.05
Hand_grip_strength_right.all_ethnicities.both.dynamic_med_corrected.IRNT,0.9700000000000002,0.72,0,0.83,0.73,0.8,1,1,0.029999999999999995
Hand_grip_strength_right.all_ethnicities.both.dynamic_med_corrected.RAW,0.98,0.64,0,0.9099999999999998,0.78,0.81,1,1,0.07
Hand_grip_strength_right.all_ethnicities.both.original.IRNT,0.39,0.92,0,0.77,0.5,0.89,0.84,1,0.08999999999999998
Hand_grip_strength_right.all_ethnicities.both.original.RAW,0.39,0.95,0,0.76,0.23,0.85,0.79,1,0.05
Hand_grip_strength_right.all_ethnicities.both.original.with_med_correction.IRNT,0.34,0.9099999999999998,0,0.82,0.34,0.87,0.84,1,0.08999999999999998
Hand_grip_strength_right.all_ethnicities.both.original.with_med_correction.RAW,0.31,0.9399999999999998,0,0.79,0.08,0.9399999999999998,0.8,1,0.07
Hand_grip_strength_right.all_ethnicities.both.static_med_corrected.IRNT,0.98,0.84,0,0.89,0.96,0.83,1,1,0.06000000000000001
Hand_grip_strength_right.all_ethnicities.both.static_med_corrected.RAW,0.98,0.57,0,0.86,0.6,0.87,1,1,0.08
HDL_cholesterol.all_ethnicities.both.2nd_visit.original.RAW,1,1,1,0.88,0.88,0.88,0.06000000000000001,0.74,0.02
HDL_cholesterol.all_ethnicities.both.dynamic_med_corrected.IRNT,1,0.43000000000000005,0,0.62,0.43999999999999995,0.52,1,1,0.62
HDL_cholesterol.all_ethnicities.both.dynamic_med_corrected.RAW,1,0.25,0,0.4000000000000001,0.66,0.38,1,1,0.10000000000000002
HDL_cholesterol.all_ethnicities.both.original.IRNT,1,0.48,0,0.38,0.15,0.53,1,1,0.009999999999999998
HDL_cholesterol.all_ethnicities.both.original.RAW,1,0.47,0,0.4200000000000001,0.2,0.57,1,1,0.02
HDL_cholesterol.all_ethnicities.both.original.with_med_correction.IRNT,1,0.41,0,0.25,0.06000000000000001,0.39,1,1,0.009999999999999998
HDL_cholesterol.all_ethnicities.both.original.with_med_correction.RAW,1,0.4000000000000001,0,0.25,0.06000000000000001,0.39,1,1,0.04
HDL_cholesterol.all_ethnicities.both.static_med_corrected.IRNT,1,0.31,0,0.2,0.46,0.31,1,1,0.57
HDL_cholesterol.all_ethnicities.both.static_med_corrected.RAW,1,0.31,0,0.48,0.62,0.55,1,1,0.67
Heel_bone_mineral_density_BMD_left.all_ethnicities.both.2nd_visit.original.RAW,1,1,1,0.27,0.04,0.3,0.08,0.22,0.05
Heel_bone_mineral_density_BMD_left.all_ethnicities.both.dynamic_med_corrected.IRNT,1,1,1,0.48,0.18,0.59,1,1,0.05
Heel_bone_mineral_density_BMD_left.all_ethnicities.both.dynamic_med_corrected.RAW,1,1,1,0.38,0.35,0.52,1,1,0.05
Heel_bone_mineral_density_BMD_left.all_ethnicities.both.original.IRNT,1,1,1,0.23,0.7,0.38,1,1,0.10000000000000002
Heel_bone_mineral_density_BMD_left.all_ethnicities.both.original.RAW,1,1,1,0.23,0.65,0.37,1,1,0.07
Heel_bone_mineral_density_BMD_left.all_ethnicities.both.original.with_med_correction.IRNT,1,1,1,0.23,0.7,0.38,1,1,0.10000000000000002
Heel_bone_mineral_density_BMD_left.all_ethnicities.both.original.with_med_correction.RAW,1,1,1,0.23,0.65,0.37,1,1,0.07
Heel_bone_mineral_density_BMD_left.all_ethnicities.both.static_med_corrected.IRNT,1,1,1,0.51,0.68,0.58,1,1,0.08999999999999998
Heel_bone_mineral_density_BMD_left.all_ethnicities.both.static_med_corrected.RAW,1,1,1,0.43000000000000005,0.29,0.48,1,1,0.06000000000000001
Heel_bone_mineral_density_BMD_right.all_ethnicities.both.2nd_visit.original.RAW,1,1,1,0.71,0.45,0.67,0.07,0.25,0.12
Heel_bone_mineral_density_BMD_right.all_ethnicities.both.dynamic_med_corrected.IRNT,1,1,1,0.76,0.57,0.82,1,1,0.63
Heel_bone_mineral_density_BMD_right.all_ethnicities.both.dynamic_med_corrected.RAW,1,1,1,0.82,0.59,0.86,1,1,0.62
Heel_bone_mineral_density_BMD_right.all_ethnicities.both.original.IRNT,1,1,1,0.38,0.23,0.55,1,1,0.05
Heel_bone_mineral_density_BMD_right.all_ethnicities.both.original.RAW,1,1,1,0.39,0.26,0.6,1,1,0.029999999999999995
Heel_bone_mineral_density_BMD_right.all_ethnicities.both.original.with_med_correction.IRNT,1,1,1,0.4200000000000001,0.25,0.5599999999999999,1,1,0.029999999999999995
Heel_bone_mineral_density_BMD_right.all_ethnicities.both.original.with_med_correction.RAW,1,1,1,0.4200000000000001,0.24,0.55,1,1,0.02
Heel_bone_mineral_density_BMD_right.all_ethnicities.both.static_med_corrected.IRNT,1,1,1,0.77,0.17,0.74,1,1,0.63
Heel_bone_mineral_density_BMD_right.all_ethnicities.both.static_med_corrected.RAW,1,1,1,0.9,0.36,0.89,1,1,0.65
Heel_bone_mineral_density_BMD_T_score_automated_left.all_ethnicities.both.2nd_visit.original.RAW,1,1,1,0.35,0.2,0.39,0.13000000000000003,0.27999999999999997,0.029999999999999995
Heel_bone_mineral_density_BMD_T_score_automated_left.all_ethnicities.both.dynamic_med_corrected.IRNT,1,1,1,0.5,0.14,0.6,1,1,0.62
Heel_bone_mineral_density_BMD_T_score_automated_left.all_ethnicities.both.dynamic_med_corrected.RAW,1,1,1,0.43999999999999995,0.34,0.55,1,1,0.06000000000000001
Heel_bone_mineral_density_BMD_T_score_automated_left.all_ethnicities.both.original.IRNT,1,1,1,0.2,0.7,0.34,1,1,0.08
Heel_bone_mineral_density_BMD_T_score_automated_left.all_ethnicities.both.original.RAW,1,1,1,0.2,0.71,0.34,1,1,0.06000000000000001
Heel_bone_mineral_density_BMD_T_score_automated_left.all_ethnicities.both.original.with_med_correction.IRNT,1,1,1,0.2,0.7,0.34,1,1,0.08
Heel_bone_mineral_density_BMD_T_score_automated_left.all_ethnicities.both.original.with_med_correction.RAW,1,1,1,0.2,0.71,0.34,1,1,0.06000000000000001
Heel_bone_mineral_density_BMD_T_score_automated_left.all_ethnicities.both.static_med_corrected.IRNT,1,1,1,0.53,0.76,0.58,1,1,0.62
Heel_bone_mineral_density_BMD_T_score_automated_left.all_ethnicities.both.static_med_corrected.RAW,1,1,1,0.46,0.38,0.48,1,1,0.06000000000000001
Heel_bone_mineral_density_BMD_T_score_automated_right.all_ethnicities.both.2nd_visit.original.RAW,1,1,1,0.72,0.3,0.71,0.08,0.23,0.11
Heel_bone_mineral_density_BMD_T_score_automated_right.all_ethnicities.both.dynamic_med_corrected.IRNT,1,1,1,0.57,0.23,0.6,1,1,0.62
Heel_bone_mineral_density_BMD_T_score_automated_right.all_ethnicities.both.dynamic_med_corrected.RAW,1,1,1,0.81,0.4000000000000001,0.77,1,1,0.64
Heel_bone_mineral_density_BMD_T_score_automated_right.all_ethnicities.both.original.IRNT,1,1,1,0.37,0.25,0.53,1,1,0.029999999999999995
Heel_bone_mineral_density_BMD_T_score_automated_right.all_ethnicities.both.original.RAW,1,1,1,0.39,0.23,0.58,1,1,0.029999999999999995
Heel_bone_mineral_density_BMD_T_score_automated_right.all_ethnicities.both.original.with_med_correction.IRNT,1,1,1,0.51,0.17,0.57,1,1,0.009999999999999998
Heel_bone_mineral_density_BMD_T_score_automated_right.all_ethnicities.both.original.with_med_correction.RAW,1,1,1,0.51,0.18,0.58,1,1,0.04
Heel_bone_mineral_density_BMD_T_score_automated_right.all_ethnicities.both.static_med_corrected.IRNT,1,1,1,0.76,0.12,0.72,1,1,0.66
Heel_bone_mineral_density_BMD_T_score_automated_right.all_ethnicities.both.static_med_corrected.RAW,1,1,1,0.92,0.46,0.89,1,1,0.07
Heel_bone_mineral_density_BMD_T_score_automated.all_ethnicities.both.2nd_visit.original.RAW,1,1,1,0.13000000000000003,0.41,0.19,0.18,0.38,0.029999999999999995
Heel_bone_mineral_density_BMD_T_score_automated.all_ethnicities.both.dynamic_med_corrected.IRNT,1,1,1,0.25,0.37,0.52,1,1,0.52
Heel_bone_mineral_density_BMD_T_score_automated.all_ethnicities.both.dynamic_med_corrected.RAW,1,1,1,0.34,0.65,0.48,1,1,0.06000000000000001
Heel_bone_mineral_density_BMD_T_score_automated.all_ethnicities.both.original.IRNT,1,1,1,0.36,0.3,0.52,1,1,0.06000000000000001
Heel_bone_mineral_density_BMD_T_score_automated.all_ethnicities.both.original.RAW,1,1,1,0.36,0.27,0.5,1,1,0.029999999999999995
Heel_bone_mineral_density_BMD_T_score_automated.all_ethnicities.both.original.with_med_correction.IRNT,1,1,1,0.36,0.3,0.52,1,1,0.06000000000000001
Heel_bone_mineral_density_BMD_T_score_automated.all_ethnicities.both.original.with_med_correction.RAW,1,1,1,0.36,0.27,0.5,1,1,0.029999999999999995
Heel_bone_mineral_density_BMD_T_score_automated.all_ethnicities.both.static_med_corrected.IRNT,1,1,1,0.25,0.37,0.52,1,1,0.52
Heel_bone_mineral_density_BMD_T_score_automated.all_ethnicities.both.static_med_corrected.RAW,1,1,1,0.34,0.65,0.48,1,1,0.06000000000000001
Heel_bone_mineral_density_BMD.all_ethnicities.both.2nd_visit.original.RAW,1,1,1,0.07,0.38,0.11,0.17,0.34,0.029999999999999995
Heel_bone_mineral_density_BMD.all_ethnicities.both.dynamic_med_corrected.IRNT,1,1,1,0.23,0.63,0.46,1,1,0.48
Heel_bone_mineral_density_BMD.all_ethnicities.both.dynamic_med_corrected.RAW,1,1,1,0.34,0.71,0.48,1,1,0.04
Heel_bone_mineral_density_BMD.all_ethnicities.both.original.IRNT,1,1,1,0.43999999999999995,0.27,0.54,1,1,0.11
Heel_bone_mineral_density_BMD.all_ethnicities.both.original.RAW,1,1,1,0.39,0.27,0.47,1,1,0.029999999999999995
Heel_bone_mineral_density_BMD.all_ethnicities.both.original.with_med_correction.IRNT,1,1,1,0.43999999999999995,0.27,0.54,1,1,0.11
Heel_bone_mineral_density_BMD.all_ethnicities.both.original.with_med_correction.RAW,1,1,1,0.39,0.27,0.47,1,1,0.029999999999999995
Heel_bone_mineral_density_BMD.all_ethnicities.both.static_med_corrected.IRNT,1,1,1,0.23,0.63,0.46,1,1,0.48
Heel_bone_mineral_density_BMD.all_ethnicities.both.static_med_corrected.RAW,1,1,1,0.34,0.71,0.48,1,1,0.04
Heel_Broadband_ultrasound_attenuation_direct_entry.all_ethnicities.both.2nd_visit.original.RAW,1,1,1,0.04,0.69,0.07,0.02,0.17,0.05
Heel_Broadband_ultrasound_attenuation_direct_entry.all_ethnicities.both.dynamic_med_corrected.IRNT,1,1,1,0.86,0.31,0.95,1,1,0.07
Heel_Broadband_ultrasound_attenuation_direct_entry.all_ethnicities.both.dynamic_med_corrected.RAW,1,1,1,0.71,0.33,0.83,1,1,0.04
Heel_Broadband_ultrasound_attenuation_direct_entry.all_ethnicities.both.original.IRNT,1,0.9899999999999999,1,0.24,0.05,0.52,1,1,0.04
Heel_Broadband_ultrasound_attenuation_direct_entry.all_ethnicities.both.original.RAW,1,0.9899999999999999,1,0.25,0.05,0.54,1,1,0.02
Heel_Broadband_ultrasound_attenuation_direct_entry.all_ethnicities.both.original.with_med_correction.IRNT,1,0.9899999999999999,1,0.24,0.05,0.52,1,1,0.04
Heel_Broadband_ultrasound_attenuation_direct_entry.all_ethnicities.both.original.with_med_correction.RAW,1,0.9899999999999999,1,0.25,0.05,0.54,1,1,0.02
Heel_Broadband_ultrasound_attenuation_direct_entry.all_ethnicities.both.static_med_corrected.IRNT,1,1,1,0.86,0.31,0.95,1,1,0.07
Heel_Broadband_ultrasound_attenuation_direct_entry.all_ethnicities.both.static_med_corrected.RAW,1,1,1,0.71,0.33,0.83,1,1,0.04
Heel_broadband_ultrasound_attenuation_left.all_ethnicities.both.2nd_visit.original.RAW,1,1,1,0.47,0.68,0.5,0.14,0.49,0.06000000000000001
Heel_broadband_ultrasound_attenuation_left.all_ethnicities.both.dynamic_med_corrected.IRNT,1,1,1,0.49,0.11,0.54,1,1,0.08
Heel_broadband_ultrasound_attenuation_left.all_ethnicities.both.dynamic_med_corrected.RAW,1,1,1,0.38,0.04,0.4000000000000001,1,1,0.10000000000000002
Heel_broadband_ultrasound_attenuation_left.all_ethnicities.both.original.IRNT,1,1,1,0.43000000000000005,0.38,0.27,1,1,0.04
Heel_broadband_ultrasound_attenuation_left.all_ethnicities.both.original.RAW,1,1,1,0.43000000000000005,0.38,0.27,1,1,0.07
Heel_broadband_ultrasound_attenuation_left.all_ethnicities.both.original.with_med_correction.IRNT,1,1,1,0.43000000000000005,0.38,0.27,1,1,0.04
Heel_broadband_ultrasound_attenuation_left.all_ethnicities.both.original.with_med_correction.RAW,1,1,1,0.43000000000000005,0.38,0.27,1,1,0.07
Heel_broadband_ultrasound_attenuation_left.all_ethnicities.both.static_med_corrected.IRNT,1,1,1,0.52,0.05,0.59,1,1,0.7
Heel_broadband_ultrasound_attenuation_left.all_ethnicities.both.static_med_corrected.RAW,1,1,1,0.38,0.08,0.47,1,1,0.08
Heel_broadband_ultrasound_attenuation_right.all_ethnicities.both.2nd_visit.original.RAW,1,1,1,0.77,0.55,0.87,0.18,0.67,0.08999999999999998
Heel_broadband_ultrasound_attenuation_right.all_ethnicities.both.dynamic_med_corrected.IRNT,1,1,1,0.45,0.23,0.6,1,1,0.04
Heel_broadband_ultrasound_attenuation_right.all_ethnicities.both.dynamic_med_corrected.RAW,1,1,1,0.4200000000000001,0.16,0.5599999999999999,1,1,0.07
Heel_broadband_ultrasound_attenuation_right.all_ethnicities.both.original.IRNT,1,1,1,0.23,0.83,0.31,1,1,0.08999999999999998
Heel_broadband_ultrasound_attenuation_right.all_ethnicities.both.original.RAW,1,1,1,0.22,0.83,0.31,1,1,0.10000000000000002
Heel_broadband_ultrasound_attenuation_right.all_ethnicities.both.original.with_med_correction.IRNT,1,1,1,0.35,0.43000000000000005,0.41,1,1,0.05
Heel_broadband_ultrasound_attenuation_right.all_ethnicities.both.original.with_med_correction.RAW,1,1,1,0.35,0.43000000000000005,0.41,1,1,0.08
Heel_broadband_ultrasound_attenuation_right.all_ethnicities.both.static_med_corrected.IRNT,1,1,1,0.46,0.17,0.6,1,1,0.05
Heel_broadband_ultrasound_attenuation_right.all_ethnicities.both.static_med_corrected.RAW,1,1,1,0.18,0.61,0.25,1,1,0.07
Heel_quantitative_ultrasound_index_QUI_direct_entry_left.all_ethnicities.both.2nd_visit.original.RAW,1,1,1,0.35,0.2,0.39,0.13000000000000003,0.27999999999999997,0.029999999999999995
Heel_quantitative_ultrasound_index_QUI_direct_entry_left.all_ethnicities.both.dynamic_med_corrected.IRNT,1,1,1,0.51,0.14,0.6,1,1,0.62
Heel_quantitative_ultrasound_index_QUI_direct_entry_left.all_ethnicities.both.dynamic_med_corrected.RAW,1,1,1,0.45,0.37,0.55,1,1,0.06000000000000001
Heel_quantitative_ultrasound_index_QUI_direct_entry_left.all_ethnicities.both.original.IRNT,1,1,1,0.19,0.71,0.33,1,1,0.08999999999999998
Heel_quantitative_ultrasound_index_QUI_direct_entry_left.all_ethnicities.both.original.RAW,1,1,1,0.19,0.71,0.33,1,1,0.06000000000000001
Heel_quantitative_ultrasound_index_QUI_direct_entry_left.all_ethnicities.both.original.with_med_correction.IRNT,1,1,1,0.19,0.71,0.33,1,1,0.08999999999999998
Heel_quantitative_ultrasound_index_QUI_direct_entry_left.all_ethnicities.both.original.with_med_correction.RAW,1,1,1,0.19,0.71,0.33,1,1,0.06000000000000001
Heel_quantitative_ultrasound_index_QUI_direct_entry_left.all_ethnicities.both.static_med_corrected.IRNT,1,1,1,0.53,0.77,0.58,1,1,0.62
Heel_quantitative_ultrasound_index_QUI_direct_entry_left.all_ethnicities.both.static_med_corrected.RAW,1,1,1,0.43000000000000005,0.37,0.43000000000000005,1,1,0.06000000000000001
Heel_quantitative_ultrasound_index_QUI_direct_entry_right.all_ethnicities.both.2nd_visit.original.RAW,1,1,1,0.72,0.3,0.71,0.08,0.23,0.11
Heel_quantitative_ultrasound_index_QUI_direct_entry_right.all_ethnicities.both.dynamic_med_corrected.IRNT,1,1,1,0.6,0.22,0.64,1,1,0.62
Heel_quantitative_ultrasound_index_QUI_direct_entry_right.all_ethnicities.both.dynamic_med_corrected.RAW,1,1,1,0.81,0.35,0.77,1,1,0.64
Heel_quantitative_ultrasound_index_QUI_direct_entry_right.all_ethnicities.both.original.IRNT,1,1,1,0.39,0.27999999999999997,0.57,1,1,0.029999999999999995
Heel_quantitative_ultrasound_index_QUI_direct_entry_right.all_ethnicities.both.original.RAW,1,1,1,0.39,0.27999999999999997,0.57,1,1,0.029999999999999995
Heel_quantitative_ultrasound_index_QUI_direct_entry_right.all_ethnicities.both.original.with_med_correction.IRNT,1,1,1,0.52,0.16,0.5599999999999999,1,1,0.009999999999999998
Heel_quantitative_ultrasound_index_QUI_direct_entry_right.all_ethnicities.both.original.with_med_correction.RAW,1,1,1,0.52,0.16,0.5599999999999999,1,1,0.04
Heel_quantitative_ultrasound_index_QUI_direct_entry_right.all_ethnicities.both.static_med_corrected.IRNT,1,1,1,0.76,0.10000000000000002,0.72,1,1,0.66
Heel_quantitative_ultrasound_index_QUI_direct_entry_right.all_ethnicities.both.static_med_corrected.RAW,1,1,1,0.92,0.4200000000000001,0.9,1,1,0.07
Heel_quantitative_ultrasound_index_QUI_direct_entry.all_ethnicities.both.2nd_visit.original.RAW,1,1,1,0.12,0.43000000000000005,0.2,0.18,0.38,0.029999999999999995
Heel_quantitative_ultrasound_index_QUI_direct_entry.all_ethnicities.both.dynamic_med_corrected.IRNT,1,1,1,0.24,0.4000000000000001,0.53,1,1,0.52
Heel_quantitative_ultrasound_index_QUI_direct_entry.all_ethnicities.both.dynamic_med_corrected.RAW,1,1,1,0.34,0.71,0.49,1,1,0.06000000000000001
Heel_quantitative_ultrasound_index_QUI_direct_entry.all_ethnicities.both.original.IRNT,1,1,1,0.37,0.29,0.52,1,1,0.06000000000000001
Heel_quantitative_ultrasound_index_QUI_direct_entry.all_ethnicities.both.original.RAW,1,1,1,0.39,0.3,0.52,1,1,0.029999999999999995
Heel_quantitative_ultrasound_index_QUI_direct_entry.all_ethnicities.both.original.with_med_correction.IRNT,1,1,1,0.37,0.29,0.52,1,1,0.06000000000000001
Heel_quantitative_ultrasound_index_QUI_direct_entry.all_ethnicities.both.original.with_med_correction.RAW,1,1,1,0.39,0.3,0.52,1,1,0.029999999999999995
Heel_quantitative_ultrasound_index_QUI_direct_entry.all_ethnicities.both.static_med_corrected.IRNT,1,1,1,0.24,0.4000000000000001,0.53,1,1,0.52
Heel_quantitative_ultrasound_index_QUI_direct_entry.all_ethnicities.both.static_med_corrected.RAW,1,1,1,0.34,0.71,0.49,1,1,0.06000000000000001
High_light_scatter_reticulocyte_count.all_ethnicities.both.2nd_visit.original.RAW,1,1,1,0.34,0.19,0.49,0.76,0.78,0.06000000000000001
High_light_scatter_reticulocyte_count.all_ethnicities.both.dynamic_med_corrected.IRNT,1,0.11,0,0.29,0.61,0.35,1,1,0.71
High_light_scatter_reticulocyte_count.all_ethnicities.both.dynamic_med_corrected.RAW,1,0.17,0,0.29,0.29,0.45,1,1,0.07
High_light_scatter_reticulocyte_count.all_ethnicities.both.original.IRNT,1,0.21000000000000005,0,0.08999999999999998,0.25,0.10000000000000002,1,1,0.08999999999999998
High_light_scatter_reticulocyte_count.all_ethnicities.both.original.RAW,1,0.18,0,0.02,0.24,0.009999999999999998,1,1,0.02
High_light_scatter_reticulocyte_count.all_ethnicities.both.original.with_med_correction.IRNT,1,0.26,0,0.029999999999999995,0.08,0.06000000000000001,1,1,0.04
High_light_scatter_reticulocyte_count.all_ethnicities.both.original.with_med_correction.RAW,1,0.19,0,0.02,0.08,0.009999999999999998,1,1,0.05
High_light_scatter_reticulocyte_count.all_ethnicities.both.static_med_corrected.IRNT,1,0.22,0,0.16,0.04,0.25,1,1,0.63
High_light_scatter_reticulocyte_count.all_ethnicities.both.static_med_corrected.RAW,1,0.11,0,0.27999999999999997,0.5,0.51,1,1,0.07
High_light_scatter_reticulocyte_percentage.all_ethnicities.both.2nd_visit.original.RAW,1,1,1,0.8,0.67,0.9300000000000002,0.65,0.66,0.05
High_light_scatter_reticulocyte_percentage.all_ethnicities.both.dynamic_med_corrected.IRNT,1,0.07,0,0.27999999999999997,0.21000000000000005,0.43999999999999995,1,1,0.63
High_light_scatter_reticulocyte_percentage.all_ethnicities.both.dynamic_med_corrected.RAW,1,0.21000000000000005,0,0.4000000000000001,0.10000000000000002,0.58,1,1,0.04
High_light_scatter_reticulocyte_percentage.all_ethnicities.both.original.IRNT,1,0.22,0,0.08999999999999998,0.11,0.08999999999999998,1,1,0.04
High_light_scatter_reticulocyte_percentage.all_ethnicities.both.original.RAW,1,0.18,0,0.13000000000000003,0.06000000000000001,0.15,1,1,0.029999999999999995
High_light_scatter_reticulocyte_percentage.all_ethnicities.both.original.with_med_correction.IRNT,1,0.23,0,0.11,0.009999999999999998,0.2,1,1,0.04
High_light_scatter_reticulocyte_percentage.all_ethnicities.both.original.with_med_correction.RAW,1,0.22,0,0.11,0.029999999999999995,0.21000000000000005,1,1,0.029999999999999995
High_light_scatter_reticulocyte_percentage.all_ethnicities.both.static_med_corrected.IRNT,1,0.25,0,0.10000000000000002,0.2,0.15,1,1,0.57
High_light_scatter_reticulocyte_percentage.all_ethnicities.both.static_med_corrected.RAW,1,0.25,0,0.3,0.4000000000000001,0.39,1,1,0.029999999999999995
Hip_circumference.all_ethnicities.both.2nd_visit.original.RAW,1,1,1,0.38,0.21000000000000005,0.4200000000000001,0.9700000000000002,0.98,0.07
Hip_circumference.all_ethnicities.both.dynamic_med_corrected.IRNT,0.95,0.81,0,0.31,0.029999999999999995,0.51,1,1,0.64
Hip_circumference.all_ethnicities.both.dynamic_med_corrected.RAW,0.81,0.85,0,0.27,0.009999999999999998,0.36,1,1,0.62
Hip_circumference.all_ethnicities.both.original.IRNT,0.98,0.92,0,0.39,0.37,0.53,1,1,0.009999999999999998
Hip_circumference.all_ethnicities.both.original.RAW,0.95,0.9300000000000002,0,0.59,0.69,0.78,1,1,0.04
Hip_circumference.all_ethnicities.both.original.with_med_correction.IRNT,0.98,0.95,0,0.5599999999999999,0.32,0.74,1,1,0.04
Hip_circumference.all_ethnicities.both.original.with_med_correction.RAW,0.96,0.95,0,0.65,0.75,0.77,1,1,0.05
Hip_circumference.all_ethnicities.both.static_med_corrected.IRNT,0.95,0.76,0,0.05,0.18,0.13000000000000003,1,1,0.64
Hip_circumference.all_ethnicities.both.static_med_corrected.RAW,0.9700000000000002,0.57,0,0.04,0.02,0.08999999999999998,1,1,0.63
IGF_1.all_ethnicities.both.2nd_visit.original.RAW,1,1,1,0.77,0.73,0.71,0.9099999999999998,0.95,0.04
IGF_1.all_ethnicities.both.dynamic_med_corrected.IRNT,0.33,0.9899999999999999,0,0.3,0.4200000000000001,0.45,1,1,0.67
IGF_1.all_ethnicities.both.dynamic_med_corrected.RAW,0.34,0.9899999999999999,0,0.41,0.43000000000000005,0.51,1,1,0.8
IGF_1.all_ethnicities.both.original.IRNT,0.55,0.98,0,0.27999999999999997,0.19,0.32,1,1,0.009999999999999998
IGF_1.all_ethnicities.both.original.RAW,0.5599999999999999,0.98,0,0.27999999999999997,0.21000000000000005,0.31,1,1,0.05
IGF_1.all_ethnicities.both.original.with_med_correction.IRNT,0.5599999999999999,0.9700000000000002,0,0.24,0.12,0.27999999999999997,1,1,0.009999999999999998
IGF_1.all_ethnicities.both.original.with_med_correction.RAW,0.58,0.9700000000000002,0,0.24,0.12,0.27999999999999997,1,1,0.07
IGF_1.all_ethnicities.both.static_med_corrected.IRNT,0.48,0.9899999999999999,0,0.31,0.64,0.34,1,1,0.67
IGF_1.all_ethnicities.both.static_med_corrected.RAW,0.5,0.9899999999999999,0,0.21000000000000005,0.4200000000000001,0.29,1,1,0.78
Immature_reticulocyte_fraction.all_ethnicities.both.2nd_visit.original.RAW,1,1,1,0.81,0.92,0.8,0.14,0.19,0.06000000000000001
Immature_reticulocyte_fraction.all_ethnicities.both.dynamic_med_corrected.IRNT,1,0.41,0,0.52,0.48,0.46,1,1,0.53
Immature_reticulocyte_fraction.all_ethnicities.both.dynamic_med_corrected.RAW,1,0.53,0,0.67,0.51,0.61,1,1,0.53
Immature_reticulocyte_fraction.all_ethnicities.both.original.IRNT,1,0.36,0,0.48,0.18,0.49,1,1,0.08
Immature_reticulocyte_fraction.all_ethnicities.both.original.RAW,1,0.36,0,0.7,0.36,0.74,1,1,0.06000000000000001
Immature_reticulocyte_fraction.all_ethnicities.both.original.with_med_correction.IRNT,1,0.27999999999999997,0,0.48,0.4200000000000001,0.43000000000000005,1,1,0.08999999999999998
Immature_reticulocyte_fraction.all_ethnicities.both.original.with_med_correction.RAW,1,0.33,0,0.74,0.27,0.77,1,1,0.04
Immature_reticulocyte_fraction.all_ethnicities.both.static_med_corrected.IRNT,1,0.5,0,0.32,0.19,0.35,1,1,0.02
Immature_reticulocyte_fraction.all_ethnicities.both.static_med_corrected.RAW,1,0.43000000000000005,0,0.33,0.24,0.37,1,1,0.07
Impedance_of_arm_left.all_ethnicities.both.2nd_visit.original.RAW,1,1,1,0.92,0.33,0.86,0,0.9,0.07
